granularity,model,MAE,RMSE,MAPE,MBE,n
hourly,lgbm_ridge_ensemble,13.595260202863596,27.00606524738504,1538.6989162733714,-0.5015277587378003,11999
hourly,pass1_raw,15.291240347444532,28.61733583352281,1482.0181204836315,7.7242489629526965,11999
hourly,pass2_raw,13.268406509878064,27.178629770925294,1281.9432174847993,4.861205632232642,11999
hourly,hourly_ew,13.595260202863596,27.00606524738504,1538.6989162733714,-0.5015277587378003,11999
hourly,naive,34.844787898991584,57.43163958006209,5388.780217320912,-0.18721935161263437,11999
weekly,lgbm_ridge_ensemble,5.786724545660338,8.166139383809842,6.322842643301252,-0.4883468230248415,72
weekly,pass1_raw,10.615626063659164,13.684789045462997,11.669729163005686,7.676354306386573,72
weekly,pass2_raw,7.673742238183755,10.865365282729611,7.947884254660077,4.8349952571019195,72
weekly,hourly_ew,5.786724545660338,8.166139383809842,6.322842643301252,-0.4883468230248415,72
weekly,naive,18.93393507627602,26.817020382360592,22.084947415845573,-0.2654616139744317,72
monthly,lgbm_ridge_ensemble,3.9960637256159677,4.780473078482513,4.285261944503127,-0.7393926121081256,17
monthly,pass1_raw,9.90116572033152,11.318003886822458,10.764802270619727,7.386635747881388,17
monthly,pass2_raw,6.943377424850093,8.480312910809737,7.279867276682253,4.673619670523599,17
monthly,hourly_ew,3.9960637256159677,4.780473078482513,4.285261944503127,-0.7393926121081256,17
monthly,naive,5.668481161317007,7.067103727925411,5.995084974740477,0.11377789371964298,17
