fold,seasonal_naive,linear_regression,lightgbm,xgboost,lgbm_ridge_ensemble
0,65.78519444444444,23.56211688475917,30.458721168429342,30.290333230860043,23.52527104853801
1,126.92402777777781,44.29124111636615,31.228113886675672,32.971097961927455,31.647699115461734
2,89.75065277777777,40.04250020933643,31.67472438854216,33.52628989017672,31.64782055852246
3,44.52684722222222,20.267413114540265,33.59902705265923,34.77398111343384,26.40683618724211
4,56.27461111111111,24.269071602657885,29.21357126819204,30.057629853105382,27.26774526258433
5,58.78037499999999,53.12502380608038,42.136338671293956,44.6069398377604,43.80592363834288
6,75.24313888888888,61.668884159769966,60.40454489133605,68.03003086178833,58.945428068928315
7,135.95777777777778,78.41506651565825,88.38026653505625,92.07057981999715,84.36811751373688
8,126.88856944444446,90.93784492848532,50.17010927194399,51.11382503901587,59.29507578052806
9,63.604791666666664,59.565063636309326,63.333048522953504,57.663489380730525,65.92220189175936
10,75.16863888888889,42.171762046967,26.536575110226032,26.871821727646722,28.944864090286885
11,115.64803894297636,39.62772536763363,32.68675064930714,32.41285640655207,31.178518413593185
